ounces,abv,brewery_id,brewery_name,city,state,Label
12.0 oz,0.05,408,10 Barrel Brewing Company,Bend,OR,
12.0 oz.,0.066,177,18th Street Brewery,Gary,IN,
12.0 ounce,0.071,177,18th Street Brewery,Gary,IN,
12.0 oz,0.09%,177,18th Street Brewery,Gary,IN,
12.0 OZ.,0.075,177,18th Street Brewery,Gary,IN,
12.0 oz,0.077,177,18th Street Brewery,Gary,IN,
12.0 oz.,0.05%,177,18th Street Brewery,Gary,IN,
12.0 ounce,0.065,177,18th Street Brewery,Gary,IN,
12.0 oz.,0.055,177,18th Street Brewery,Gary,IN,
12.0 ounce,0.086,177,18th Street Brewery,Gary,IN,
12.0 oz.,0.072,177,18th Street Brewery,Gary,IN,
12.0 oz.,0.073,177,18th Street Brewery,Gary,IN,
12.0 OZ.,0.07%,177,18th Street Brewery,Gary,IN,
12.0 oz.,0.085,177,18th Street Brewery,Gary,IN,
12.0 ounce,0.06%,177,18th Street Brewery,Gary,IN,
12.0 ounce,0.06,154,2 Towns Ciderhouse,Corvallis,OR,
12.0 oz.,0.06,154,2 Towns Ciderhouse,Corvallis,OR,
12.0 oz. Alumi-Tek,0.06,154,2 Towns Ciderhouse,Corvallis,OR,
12.0 ounce,0.06,154,2 Towns Ciderhouse,Corvallis,OR,
12.0 oz.,0.082,368,21st Amendment Brewery,San Francisco,CA,
12.0 oz.,0.082,368,21st Amendment Brewery,San Francisco CA,,
8.4 ounce,0.099,368,21st Amendment Brewery,San Francisco,CA,
12.0 OZ.,0.079,368,21st Amendment Brewery,San Francisco,CA,
12.0 oz.,0.079,368,21st Amendment Brewery,San Francisco,CA,
12.0 oz,0.044,368,21st Amendment Brewery,San Francisco,CA,
12.0 ounce,0.049,368,21st Amendment Brewery,San Francisco,CA,
12.0 oz.,0.05%,368,21st Amendment Brewery,San Francisco,CA,
12.0 oz.,0.049,368,21st Amendment Brewery,San Francisco,CA,
12.0 oz.,0.07,368,21st Amendment Brewery,San Francisco,CA,
12.0 OZ.,0.07%,368,21st Amendment Brewery,San Francisco,CA,
12.0 oz.,0.07%,368,21st Amendment Brewery,San Francisco,CA,
12.0 oz.,0.085,368,21st Amendment Brewery,San Francisco,CA,
12.0 oz.,0.097,368,21st Amendment Brewery,San Francisco,CA,
12.0 oz,0.044,368,21st Amendment Brewery,San Francisco,CA,
12.0 ounce,0.08%,368,21st Amendment Brewery,San Francisco,CA,
12.0 ounce,0.07%,368,21st Amendment Brewery,San Francisco,CA,
12.0 OZ.,0.083,368,21st Amendment Brewery,San Francisco,CA,
12.0 oz.,0.07,368,21st Amendment Brewery,San Francisco,CA,
12.0 oz.,0.049,368,21st Amendment Brewery,San Francisco,CA,
12.0 ounce,0.07,67,3 Daughters Brewing,St Petersburg,FL,
12.0 oz.,0.05,67,3 Daughters Brewing,St Petersburg,FL,
12.0 oz.,0.059,67,3 Daughters Brewing,St Petersburg,FL,
12.0 oz,0.035,60,4 Hands Brewing Company,Saint Louis,MO,
12.0 oz,0.05%,60,4 Hands Brewing Company,Saint Louis,MO,
12.0 oz,0.06%,60,4 Hands Brewing Company,Saint Louis,MO,
12.0 oz.,0.06,60,4 Hands Brewing Company,Saint Louis,MO,
12.0 oz.,0.06%,60,4 Hands Brewing Company,Saint Louis,MO,
12.0 oz,0.065,60,4 Hands Brewing Company,Saint Louis MO,,
12.0 oz.,0.065,60,4 Hands Brewing Company,Saint Louis,MO,
12.0 oz.,0.05,60,4 Hands Brewing Company,Saint Louis,MO,
16.0 ounce,0.065,27,450 North Brewing Company,Columbus,IN,
16.0 ounce,0.05,27,450 North Brewing Company,Columbus,IN,
16.0 oz.,0.09,27,450 North Brewing Company,Columbus,IN,
16.0 oz.,0.069,27,450 North Brewing Company,Columbus,IN,
16.0 oz. Alumi-Tek,0.09%,27,450 North Brewing Company,Columbus,IN,
16.0 ounce,0.05%,27,450 North Brewing Company,Columbus,IN,
16.0 oz,0.05%,27,450 North Brewing Company,Columbus,IN,
16.0 oz,0.059,481,7 Seas Brewing Company,Gig Harbor,WA,
16.0 oz,0.054,481,7 Seas Brewing Company,Gig Harbor,WA,
16.0 ounce,0.054,481,7 Seas Brewing Company,Gig Harbor,WA,
16.0 oz.,0.084,481,7 Seas Brewing Company,Gig Harbor,WA,
12.0 oz.,0.038,373,7venth Sun,Dunedin,FL,
12.0 oz,0.055,462,AC Golden Brewing Company,Golden,CO,
12.0 ounce,0.055,462,AC Golden Brewing Company,Golden,CO,
12.0 oz.,0.065,533,Abita Brewing Company,Abita Springs,LA,
12.0 oz,0.042,533,Abita Brewing Company,Abita Springs,LA,
12.0 oz.,0.045,533,Abita Brewing Company,Abita Springs,LA,
16.0 ounce,0.082,62,Against The Grain Brewery,Louisville,KY,
16.0 ounce,0.05,62,Against The Grain Brewery,Louisville,KY,
16.0 ounce,0.08,1,Against the Grain Brewery,Louisville,KY,
16.0 oz.,0.13%,1,Against the Grain Brewery,Louisville,KY,
16.0 OZ.,0.077,1,Against the Grain Brewery,Louisville,KY,
16.0 oz.,0.042,1,Against the Grain Brewery,Louisville,KY,
16.0 oz,0.05,1,Against the Grain Brewery,Louisville,KY,
16.0 ounce,0.066,1,Against the Grain Brewery,Louisville,KY,
16.0 oz,0.04,1,Against the Grain Brewery,Louisville,KY,
