ounces,abv,brewery_id,brewery_name,city,state,Label
12.0 oz,0.05,408,10 Barrel Brewing Company,Bend,OR,null
12.0 oz.,0.066,177,18th Street Brewery,Gary,IN,null
12.0 ounce,0.071,177,18th Street Brewery,Gary,IN,null
12.0 oz,0.09%,177,18th Street Brewery,Gary,IN,null
12.0 OZ.,0.075,177,18th Street Brewery,Gary,IN,null
12.0 oz,0.077,177,18th Street Brewery,Gary,IN,null
12.0 oz.,0.05%,177,18th Street Brewery,Gary,IN,null
12.0 ounce,0.065,177,18th Street Brewery,Gary,IN,null
12.0 oz.,0.055,177,18th Street Brewery,Gary,IN,null
12.0 ounce,0.086,177,18th Street Brewery,Gary,IN,null
12.0 oz.,0.072,177,18th Street Brewery,Gary,IN,null
12.0 oz.,0.073,177,18th Street Brewery,Gary,IN,null
12.0 OZ.,0.07%,177,18th Street Brewery,Gary,IN,null
12.0 oz.,0.085,177,18th Street Brewery,Gary,IN,null
12.0 ounce,0.06%,177,18th Street Brewery,Gary,IN,null
12.0 ounce,0.06,154,2 Towns Ciderhouse,Corvallis,OR,null
12.0 oz.,0.06,154,2 Towns Ciderhouse,Corvallis,OR,null
12.0 oz. Alumi-Tek,0.06,154,2 Towns Ciderhouse,Corvallis,OR,null
12.0 ounce,0.06,154,2 Towns Ciderhouse,Corvallis,OR,null
12.0 oz.,0.082,368,21st Amendment Brewery,San Francisco,CA,null
12.0 oz.,0.082,368,21st Amendment Brewery,San Francisco CA,null,null
8.4 ounce,0.099,368,21st Amendment Brewery,San Francisco,CA,null
12.0 OZ.,0.079,368,21st Amendment Brewery,San Francisco,CA,null
12.0 oz.,0.079,368,21st Amendment Brewery,San Francisco,CA,null
12.0 oz,0.044,368,21st Amendment Brewery,San Francisco,CA,null
12.0 ounce,0.049,368,21st Amendment Brewery,San Francisco,CA,null
12.0 oz.,0.05%,368,21st Amendment Brewery,San Francisco,CA,null
12.0 oz.,0.049,368,21st Amendment Brewery,San Francisco,CA,null
12.0 oz.,0.07,368,21st Amendment Brewery,San Francisco,CA,null
12.0 OZ.,0.07%,368,21st Amendment Brewery,San Francisco,CA,null
12.0 oz.,0.07%,368,21st Amendment Brewery,San Francisco,CA,null
12.0 oz.,0.085,368,21st Amendment Brewery,San Francisco,CA,null
12.0 oz.,0.097,368,21st Amendment Brewery,San Francisco,CA,null
12.0 oz,0.044,368,21st Amendment Brewery,San Francisco,CA,null
12.0 ounce,0.08%,368,21st Amendment Brewery,San Francisco,CA,null
12.0 ounce,0.07%,368,21st Amendment Brewery,San Francisco,CA,null
12.0 OZ.,0.083,368,21st Amendment Brewery,San Francisco,CA,null
12.0 oz.,0.07,368,21st Amendment Brewery,San Francisco,CA,null
12.0 oz.,0.049,368,21st Amendment Brewery,San Francisco,CA,null
12.0 ounce,0.07,67,3 Daughters Brewing,St Petersburg,FL,null
12.0 oz.,0.05,67,3 Daughters Brewing,St Petersburg,FL,null
12.0 oz.,0.059,67,3 Daughters Brewing,St Petersburg,FL,null
12.0 oz,0.035,60,4 Hands Brewing Company,Saint Louis,MO,null
12.0 oz,0.05%,60,4 Hands Brewing Company,Saint Louis,MO,null
12.0 oz,0.06%,60,4 Hands Brewing Company,Saint Louis,MO,null
12.0 oz.,0.06,60,4 Hands Brewing Company,Saint Louis,MO,null
12.0 oz.,0.06%,60,4 Hands Brewing Company,Saint Louis,MO,null
12.0 oz,0.065,60,4 Hands Brewing Company,Saint Louis MO,null,null
12.0 oz.,0.065,60,4 Hands Brewing Company,Saint Louis,MO,null
12.0 oz.,0.05,60,4 Hands Brewing Company,Saint Louis,MO,null
16.0 ounce,0.065,27,450 North Brewing Company,Columbus,IN,null
16.0 ounce,0.05,27,450 North Brewing Company,Columbus,IN,null
16.0 oz.,0.09,27,450 North Brewing Company,Columbus,IN,null
16.0 oz.,0.069,27,450 North Brewing Company,Columbus,IN,null
16.0 oz. Alumi-Tek,0.09%,27,450 North Brewing Company,Columbus,IN,null
16.0 ounce,0.05%,27,450 North Brewing Company,Columbus,IN,null
16.0 oz,0.05%,27,450 North Brewing Company,Columbus,IN,null
16.0 oz,0.059,481,7 Seas Brewing Company,Gig Harbor,WA,null
16.0 oz,0.054,481,7 Seas Brewing Company,Gig Harbor,WA,null
16.0 ounce,0.054,481,7 Seas Brewing Company,Gig Harbor,WA,null
16.0 oz.,0.084,481,7 Seas Brewing Company,Gig Harbor,WA,null
12.0 oz.,0.038,373,7venth Sun,Dunedin,FL,null
12.0 oz,0.055,462,AC Golden Brewing Company,Golden,CO,null
12.0 ounce,0.055,462,AC Golden Brewing Company,Golden,CO,null
12.0 oz.,0.065,533,Abita Brewing Company,Abita Springs,LA,null
12.0 oz,0.042,533,Abita Brewing Company,Abita Springs,LA,null
12.0 oz.,0.045,533,Abita Brewing Company,Abita Springs,LA,null
16.0 ounce,0.082,62,Against The Grain Brewery,Louisville,KY,null
16.0 ounce,0.05,62,Against The Grain Brewery,Louisville,KY,null
16.0 ounce,0.08,1,Against the Grain Brewery,Louisville,KY,null
16.0 oz.,0.13%,1,Against the Grain Brewery,Louisville,KY,null
16.0 OZ.,0.077,1,Against the Grain Brewery,Louisville,KY,null
16.0 oz.,0.042,1,Against the Grain Brewery,Louisville,KY,null
16.0 oz,0.05,1,Against the Grain Brewery,Louisville,KY,null
16.0 ounce,0.066,1,Against the Grain Brewery,Louisville,KY,null
16.0 oz,0.04,1,Against the Grain Brewery,Louisville,KY,null
16.0 oz.,0.055,1,Against the Grain Brewery,Louisville,KY,null
16.0 ounce,0.076,1,Against the Grain Brewery,Louisville,KY,null
16.0 OZ.,0.05%,1,Against the Grain Brewery,Louisville,KY,null
16.0 ounce,0.07%,1,Against the Grain Brewery,Louisville,KY,null
16.0 oz.,0.06,1,Against the Grain Brewery,Louisville,KY,null
16.0 oz,0.05,1,Against the Grain Brewery,Louisville,KY,null
16.0 ounce,0.053,367,Airways Brewing Company,Kent,WA,null
16.0 OZ.,0.05,367,Airways Brewing Company,Kent,WA,null
16.0 oz.,0.052,367,Airways Brewing Company,Kent,WA,null
12.0 OZ.,0.04,117,Alameda Brewing,Portland,OR,null
12.0 oz. Alumi-Tek,0.053,117,Alameda Brewing,Portland,OR,null
12.0 oz,0.082,117,Alameda Brewing,Portland,OR,null
12.0 oz.,0.053,270,Alaskan Brewing Company,Juneau,AK,null
12.0 OZ.,0.053,270,Alaskan Brewing Company,Juneau,AK,null
12.0 OZ.,0.057,73,Ale Asylum,Madison WI,null,null
16.0 oz,0.043,388,Alltech's Lexington Brewing Company,Lexington,KY,null
16.0 OZ.,0.065,388,Alltech's Lexington Brewing Company,Lexington,KY,null
16.0 oz. Alumi-Tek,0.054,401,Amnesia Brewing Company,Washougal,WA,null
16.0 oz,0.062,401,Amnesia Brewing Company,Washougal,WA,null
16.0 ounce,0.062,401,Amnesia Brewing Company,Washougal,WA,null
12.0 oz. Alumi-Tek,0.06%,35,Anchor Brewing Company,San Francisco,CA,null
12.0 ounce,0.07%,35,Anchor Brewing Company,San Francisco,CA,null
12.0 oz,0.05%,35,Anchor Brewing Company,San Francisco,CA,null
12.0 oz.,0.049,35,Anchor Brewing Company,San Francisco,CA,null
12.0 ounce,0.06%,35,Anchor Brewing Company,San Francisco,CA,null
12.0 oz.,0.042,171,Anderson Valley Brewing Company,Boonville,CA,null
12.0 oz,0.042,171,Anderson Valley Brewing Company,Boonville,CA,null
