CCN,Facility,Address1,City,State,ZipCode,County,PhoneNumber,CMSRegion,Condition,Label
13025,ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,BIRMINGHAM,3800 RIDGEWAY DRIVE,AL,35209,Jefferson,(205) 868-2000,4,null,null
13025,ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,BIRMINGHAM,3800 RIDGEWAY DRIVE,AL,35209,Jefferson,(205) 868-2000,4,Brain disease or condition (non-traumatic),null
13025,ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,3800 RIDGEWAY DRIVE,BIRMINGHAM,MO,35209,Jefferson,(05) 868-2000,4,Brain injury (traumatic),null
13025,ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,3800 RIDGEWAY DRIVE,BIRMINGHAM,AL,35209,Jefferson,(205) 868-2000,4,Hip or femur fracture,null
null,ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,3800 RIDGEWAY DRIVE,BIRMINGHAM,AL,35209,Jefferson,(205) 868-2000,null,Hp or knee replacement  amputation or other bone or joint condition,null
13025,ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,3800 RIDGEWAY DRIVE,BIRMINGHAM,AL,35209,Jefferson,(205) 868-2000,4,Nervous system disorder (excluding stroke),null
13025,ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,3800 RIDGEWAY DRIVE,BIRMINGHAM,AL,35209,Jefferson,(205) 868-2000,4,Spinal cord disease or condition (non-traumatic),null
13025,ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,3800 RIDGEWAY DRIVE,BIRMINGHAM,AL,35209,Jefferson,(205) 868-2000,4,Spinal cord injury (traumatic),2
13025,ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,3800 RIDGEWAY DRIVE,BIRMINGHAM,AL,35209,Jefferson,(205) 868-2000,2,Stroke,null
13028,ENCOMPASS REHABILITATION HOSPITAL OF MONTGOMERY,4465 NARROW LANE RD,MONTGOMERY,AL,36116,Montgomery,(334) 284-7821,4,All other conditions,2
13028,ENCOMPASS REHABILITATION HOSPITAL OF MONTGOMERY,4465 NARROW LANE RD,MONTGOMERY,AL,36116,Montgomery,(334) 284-7821,4,Brain disease or condition (non-traumatic),2
13028,ENCOMPASS REHABILITATION HOSPITAL OF MONTGOMERY,4465 NARROW LANE RD,MONTGOMERY,AL,36116,Montgomery,(334) 284-7821,4,Brain injury (traumatic),null
13028,ENCOMPASS REHABILITATION HOSPITAL OF MONTGOMERY,4465 NARROW LANE RD,MONTGOMERY,AL,36116,Montgomery,(334) 284-7821,4,Hip or femur fracture,null
13028,ENCOMPASS REHABILITATION HOSPITAL OF MONTGOMERY,4465 NARROW LANE RD,MONTGOMERY,AL,36116,Montgomery,(334) 284-7821,4,Hip or knee replacement  amputation or other bone or joint condition,null
13028,ENCOMPASS REHABILITATION HOSPITAL OF MONTGOMERY,4465 NARROW LANE RD,MONTGOMERY,AL,36116,Montgomery,(334) 284-7821,4,Nervous system disorder (excluding stroke),null
23T275,ENCOMPASS REHABILITATION HOSPITAL OF MONTGOMERY,4465 NARROW LANE RD,MONTGOMERY,AL,36116,Montgomery,(334) 284-7821,4,Spinal cord disease or condition (non-traumatic),null
13028,ENCOMPASS REHABILITATION HOSPITAL OF MONTGOMERY,4465 NARROW LANE RD,MONTGOMERY,AL,36116,Montgomery,(334) 284-7821,4,Spinal cord injury (traumatic),2
13028,ENCOMPASS REHABILITATION HOSPITAL OF MONTGOMERY,4465 NARROW LANE RD,MONTGOMERY,AL,30162,Montgomery,(334) 284-7821,4,Stroke,null
13029,ENCOMPASS HEALTH REHABILITATION HOSPITAL NORTH  AL,1490 HIGHWAY 72 E,HUNTSVILLE,null,35811,Madison,(205) 535-2300,4,All other conditions,null
13029,ENCOMPASS HEALTH REHABILITATION HOSPITAL NORTH  AL,1490 HIGHWAY 72 E,HUNTSVILLE,AL,35811,Madison,(205) 535-2300,4,Brain disease or condition (non-traumatic),null
13029,ENCOMPASS HEALTH REHABILITATION HOSPITAL NORTH  AL,1490 HIGHWAY 72 E,HUNTSVILLE,AL,35811,Madison,(205) 535-2300,4,Brain injury (traumatic),null
13029,ENCOMPASS HEALTH REHABILITATION HOSPITAL NORTH  AL,1490 HIGHWAY 72 E,HUNTSVILLE,AL,35811,Madison,(205) 535-2300,4,Hip or femur fracture,null
13029,ENCOMPASS HEALTH REHABILITATION HOSPITAL NORTH  AL,1490 HIGHWAY 72 E,HUNTSVILLE,AL,35811,Madison,(205) 535-2300,4,Hip or knee replacement  amputation or other bone or joint condition,null
13029,ECOMPASS HEALTH REHABILITATION HOSPITAL NORTH  AL,1490 HIGHWAY 72 E,HUNTSVILLE,AL,35811,Madison,(205) 535-2300,4,Nervous system disorder (excluding stroke),null
13029,ENCOMPASS HEALTH REHABILITATION HOSPITAL NORTH  AL,1490 HIGHWAY 72 E,HUNTSVILLE,AL,35811,Madison,(205) 535-2300,4,Spinal cord disease or condition (non-traumatic),2
13029,ENCOMPASS HEALTH REHABILITATION HOSPITAL NORTH  AL,1490 HIGHWAY 72 E,HUNTSVILLE,AL,35811,Madison,(205) 535-2300,4,Spinal cord injury (traumatic),null
13029,ENCOMPASS HEALTH REHABILITATION HOSPITAL NORTH  AL,1490 HIGHWAY 72 E,HUNTSVILLE,AL,35811,Madison,(205) 535-2300,4,Stroke,null
13030,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF DOTHAN,1736 EAST MAIN STREET,DOTHAN,AL,36301,Houston,(334) 712-6333,4,All other conditions,null
13030,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF DOTHAN,null,DOTHAN,AL,36301,Houston,(334) 712-6333,4,Brain disease or condition (non-traumatic),null
13030,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF DOTHAN,1736 EAST MAIN STREET,DOTHAN,AL,36301,Houston,(334) 712-6333,4,Brain injury (traumatic),null
13030,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF DOTHAN,1736 EAST MAIN STREET,DOTHAN,AL,36301,Houston,(334) 712-6333,4,Hip or femur fracture,null
13030,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF DOTHAN,1736 EAST MAIN STREET,DOTHAN,AL,36301,Houston,(334) 712-6333,4,Hip or knee replacement  amputation or other bone or joint condition,null
13030,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF DOTHAN,1736 EAST MAIN STREET,DOTHAN,AL,36301,Houston,(334) 712-6333,4,Nervous system disorder (excluding stroke),null
13030,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF DOTHAN,1736 EAST MAIN STREET,DOTHAN,AL,36301,Houston,(334) 712-6333,4,Spinal cord disease or condition (non-traumatic),null
13030,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF DOTHAN,1736 EAST MAIN STREET,DOTHAN,AL,36301,Houston,(334) 712-6333,4,Spinal cord injury (traumatic),2
13030,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF DOTHAN,1736 EAST MAIN STREET,DOTHAN,AL,36301,Houston,(334) 712-6333,4,Stroke,null
13031,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SHELBY,900 OAK MOUNTAIN COMMONS LANE,PELHAM,AL,35124,Shelby,(205) 216-7621,4,All other conditions,null
13031,IU HEALTH BALL MEMORIAL HOSP,900 OAK MOUNTAIN COMMONS LANE,PELHAM,AL,35124,Shelby,(205) 216-7621,4,Brain disease or condition (non-traumatic),2
13031,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SHELBY,900 OAK MOUNTAIN COMMONS LANE,PELHAM,AL,35124,Shelby,(205) 216-7621,4,Brain injury (traumatic),null
null,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SHELBY,900 OAK MOUNTAIN COMMONS LANE,PELHAM,AL,35124,Shelby,(205) 216-7621,4,Hip or femur fracture,null
13031,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SHELBY,900 OAK MOUNTAIN COMMONS LANE,PELHAM,AL,35124,Shelby,(205) 216-7621,4,Hip or knee replacement  amputation or other bone or joint condition,null
13031,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SHELBY,900 OAK MOUNTAIN COMMONS LANE,PELHAM,AL,35124,Shelby,(205) 216-7621,4,Nervous system disorder (excluding stroke),null
13031,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SHELBY,900 OAK MOUNTAIN COMMONS LANE,PELHAM,AL,35124,Shelby,(205) 216-7621,4,Spinal cord disease or condition (non-traumatic),null
13031,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SHELBY,900 OAK MOUNTAIN COMMONS LANE,PELHAM,AL,35124,Shelby,(205) 216-7621,4,Spinal cord injury (traumatic),null
13031,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SHELBY,CHARLTON MEMORIAL HOSPITAL,PELHAM,AL,35124,Shelby,(205) 216-7621,4,Stroke,null
13032,ENCOMPASS HEALTH REHABILITATION HOSPITAL GADSDEN,801 GOODYEAR AVE,GADSDEN,AL,35903,Etowah,(256) 439-5000,4,Spinal cord injury (traumatic),2
13032,ENCOMPASS HEALTH REHABILITATION HOSPITAL GADSDEN,801 GOODYEAR AVE,GADSDEN,AL,35903,Etowah,(256) 439-5000,4,Brain disease or condition (non-traumatic),null
13032,ENCOMPASS HEALTH REHABILITATION HOSPITAL GADSDEN,81 GOODYEAR AVE,GADSDEN,AL,35903,Etowah,(256) 439-5000,4,Brain injury (traumatic),null
13032,ENCOMPASS HEALTH REHABILITATION HOSPITAL GADSDEN,801 GOODYEAR AVE,GADSDEN,AL,35903,Etowah,(256) 439-5000,4,Hip or femur fracture,null
13032,ENCOMPASS HEALTH REHABILITATION HOSPITAL GADSDEN,801 GOODYEAR AVE,GADSDEN,AL,35903,Etowah,(256) 439-5000,4,Hip or knee replacement  amputation or other bone or joint condition,null
13032,ENCOMPASS HEALTH REHABILITATION HOSPITAL GADSDEN,801 GOODYEAR AVE,GADSDEN,AL,35903,Etowah,(256) 439-5000,4,Nervous system disorder (excluding stroke),null
13032,ENCOMPASS HEALTH REHABILITATION HOSPITAL GADSDEN,801 GOODYEAR AVE,GADSDEN,AL,35903,Etowah,(256) 439-5000,4,Spinal cord disease or condition (non-traumatic),null
13032,ENCOMPASS HEALTH REHABILITATION HOSPITAL GADSDEN,801 GOODYEAR AVE,GADSDEN,AL,35903,Etowah,(256) 439-5000,4,Spinal cord injury (traumatic),null
13032,ENCOMPASS HEALTH REHABILITATION HOSPITAL GADSDEN,801 GOODYEAR AVE,GADSDEN,AL,35903,Etowah,(256) 439-5000,4,Stroke,null
13033,REGIONAL REHABILITATION HOSPITAL,3715 US HIGHWAY 431 NORTH,PHENIX CITY,AL,36867,Russell,(334) 732-2200,4,All other conditions,2
13033,REGIONAL REHABILITATION HOSPITAL,3715 US HIGHWAY 431 NORTH,PHENIX CITY,AL,36867,Russell,(334) 732-2200,4,Brain disease or condition (non-traumatic),null
13033,REGIONAL REHABILITATION HOSPITAL,3715 US HIGHWAY 431 NORTH,PHENIX CITY,AL,36867,Russell,(334) 732-2200,4,Brain injury (traumatic),null
13033,REGIONAL REHABILITATION HOSPITAL,3715 US HIGHWAY 431 NORTH,PHENIX CITY,AL,36867,Russell,(334) 732-2200,4,Hip or femur fracture,null
13033,REGIONAL REHABILITATION HOSPITAL,3715 US HIGHWAY 431 NORTH,PHENIX CITY,AL,36867,Russell,(334) 732-2200,4,Hip or knee replacement  amputation or other bone or joint condition,null
13033,REGIONAL REHABILITATION HOSPITAL,3715 US HIGHWAY 431 NORTH,PHENIX CITY,AL,36867,Russell,(334) 732-2200,4,Nervous system disorder (excluding stroke),null
13033,REGIONAL REHABILITATION HOSPITAL,3715 US HIGHWAY 431 NORTH,PHENIX CITY,AL,36867,Russell,(334) 732-2200,4,Spinal cord disease or condition (non-traumatic),null
13033,REGIONAL REHABILITATION HOSPITAL,3715 US HIGHWAY 431 NORTH,PHENIX CITY,AL,36867,Russell,(334) 732-2200,4,Spinal cord injury (traumatic),null
