,tid,attribute,correct_val
0,0,src,aa
1,0,flight,AA-3859-IAH-ORD
2,0,sched_dep_time,7:10 a.m.
3,0,act_dep_time,7:16 a.m.
4,0,sched_arr_time,9:40 a.m.
5,0,act_arr_time,9:32 a.m.
6,1,src,aa
7,1,flight,AA-1733-ORD-PHX
8,1,sched_dep_time,7:45 p.m.
9,1,act_dep_time,7:58 p.m.
10,1,sched_arr_time,10:30 p.m.
11,1,act_arr_time,10:30 p.m.
12,2,src,aa
13,2,flight,AA-1640-MIA-MCO
14,2,sched_dep_time,6:30 p.m.
15,2,act_dep_time,6:30 p.m.
16,2,sched_arr_time,7:25 p.m.
17,2,act_arr_time,7:25 p.m.
18,3,src,aa
19,3,flight,AA-518-MIA-JFK
20,3,sched_dep_time,6:40 a.m.
21,3,act_dep_time,6:54 a.m.
22,3,sched_arr_time,9:25 a.m.
23,3,act_arr_time,9:28 a.m.
24,4,src,aa
25,4,flight,AA-3756-ORD-SLC
26,4,sched_dep_time,12:15 p.m.
27,4,act_dep_time,12:41 p.m.
28,4,sched_arr_time,2:45 p.m.
29,4,act_arr_time,2:50 p.m.
30,5,src,aa
31,5,flight,AA-204-LAX-MCO
32,5,sched_dep_time,11:25 p.m.
33,5,act_dep_time,11:25 p.m.
34,5,sched_arr_time,6:55 a.m.
35,5,act_arr_time,6:55 a.m.
36,6,src,aa
37,6,flight,AA-3468-CVG-MIA
38,6,sched_dep_time,7:00 a.m.
39,6,act_dep_time,7:25 a.m.
40,6,sched_arr_time,9:55 a.m.
41,6,act_arr_time,9:45 a.m.
42,7,src,aa
43,7,flight,AA-484-DFW-MIA
44,7,sched_dep_time,4:15 p.m.
45,7,act_dep_time,4:29 p.m.
46,7,sched_arr_time,7:55 p.m.
47,7,act_arr_time,7:39 p.m.
48,8,src,aa
49,8,flight,AA-446-DFW-PHL
50,8,sched_dep_time,11:50 a.m.
51,8,act_dep_time,12:12 p.m.
52,8,sched_arr_time,3:50 p.m.
53,8,act_arr_time,4:09 p.m.
54,9,src,aa
55,9,flight,AA-466-IAH-MIA
56,9,sched_dep_time,6:00 a.m.
57,9,act_dep_time,6:08 a.m.
58,9,sched_arr_time,9:20 a.m.
59,9,act_arr_time,9:05 a.m.
60,10,src,aa
61,10,flight,AA-1886-BOS-MIA
62,10,sched_dep_time,10:45 a.m.
63,10,act_dep_time,10:55 a.m.
64,10,sched_arr_time,2:20 p.m.
65,10,act_arr_time,1:40 p.m.
66,11,src,aa
67,11,flight,AA-2957-DFW-CVG
68,11,sched_dep_time,7:55 a.m.
69,11,act_dep_time,8:04 a.m.
70,11,sched_arr_time,11:05 a.m.
71,11,act_arr_time,11:01 a.m.
72,12,src,aa
73,12,flight,AA-1664-MIA-ATL
74,12,sched_dep_time,10:15 a.m.
75,12,act_dep_time,10:18 a.m.
76,12,sched_arr_time,12:10 p.m.
77,12,act_arr_time,11:56 a.m.
78,13,src,aa
79,13,flight,AA-3979-CVG-ORD
80,13,sched_dep_time,7:30 a.m.
81,13,act_dep_time,8:04 a.m.
82,13,sched_arr_time,8:00 a.m.
