,CCN,Facility,Address1,City,State,ZipCode,County,PhoneNumber,CMSRegion,Condition
0,13025,ENCOMPASS HEALTH REHAB HOSPITAL AN AFFILIATE OF MA,BIRMINGHAM,3800 RIDGEWAY DRIVE,,35209,,(205) 868-2000,4,
1,26T040,ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,BIRMINGHAM,3800 RIDGEWAY DRIVE,A,35209,Jefferson,,4,Brain disease or condition (non-traumatic)
2,13025,ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,3800 RIDGEWAY DRIVE,BIRMINGHAM,,35209,Pima,,,Brain disease or condition (non-traumatic)
3,13025,ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,3800 RIDGEWAY DRIVE,BIRMINGHAM,AL,35209,Jefferson,(205) 868-2000,4,Hip or femur fracture
4,,ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,3800 RIDGEWAY DRIVE,BIRMINGHAM,AL,35209,Jefferson,(205) 868-2000,,
5,13025,ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,,BIRMINGHAM,,35209,Jefferson,,4,Spinal cord disease or condition (non-traumatic)
6,13025,ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,3800 RIDGEWAY DRIVE,BRMINGHAM,PA,35209,Jefferson,(205) 868-2000,4,Spinal cord disease or condition (non-traumatic)
7,13025,ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,54 SEARGENT PRENTISS DRIVE,BRMINGHAM,AL,35209,,(502) 596-6346,4,Spinal cord injury (traumatic)
8,13025,QUEEN OF THE VALLEY HOSPITAL,3800 RIDGEWAY DRIVE,BIRMINGHAM,AL,35209,Jefferson,(205) 868-2000,,All other conditions
9,39T327,ENCOMPASS REHABILITATION HOSPITAL OF MONTGOMERY,4465 NARROW LANE RD,MONTGOMERY,,,Montgomery,(334) 284-7821,4,All other conditions
10,13028,ENCOMPASS REHABILITATION HOSPITAL OF MONTGOMERY,4465 NARROW LANE RD,MONTGOMERY,AL,,,(334) 284-7821,4,Brain disease or condition (non-traumatic)
11,1028,ENCOMPASS REHABILITATION HOSPITAL OF MONTGOMERY,465 NARROW LANE RD,GARY,AL,36116,Montgomery,(334) 284-7821,8,Brain injury (traumatic)
12,13028,ENCOMPASS REHABILITATION HOSPITAL OF MONTGOMERY,,MNTGOMERY,NH,36116,Macon,(334) 284-7821,4,Hip or femur fracture
13,13028,ENCOMPASS REHABILITATION HOSPITAL OF MONTGOMERY,4465 NARROW LANE RD,MONTGOMERY,AL,36116,Hennepin,(334) 284-7821,4,"Hip or knee replacement, amputation or other bone or joint condition"
14,13028,AULTMAN WOODLAWN,465 NARROW LANE RD,MONTGOMERY,FL,36116,Montgomery,(334) 284-7821,,Nrvous system disorder (excluding stroke)
15,,SEVEN RIVERS REGIONAL MEDICAL CENTER,4465 NARROW LANE RD,MONTGOMERY,AL,,,(34) 284-7821,4,Spinal cord disease or condition (non-traumatic)
16,13028,ENCOMPASS REHABILITATION HOSPITAL OF MONTGOMERY,4465 NARROW LANE RD,MONTGOMERY,AL,36116,Montgomery,(334) 284-7821,,Brain injury (traumatic)
17,36T059,,,MONTGOMERY,A,,Montgomery,(714) 832-9200,,Stroke
18,13029,ENCOMPASS HEALTH REHABILITATION HOSPITAL NORTH  AL,1490 HIGHWAY 72 E,HUNTSVILLE,,35811,Pueblo,(205) 535-2300,4,All other conditions
19,13029,,400 MEDICAL PARK DRIVE,HUNTSVILLE,AL,35811,Madison,(573) 817-2703,4,"Hip or knee replacement, amputation or other bone or joint condition"
20,13029,ENCOMPASS HEALTH REHABILITATION HOSPITAL NORTH  AL,5330 S HIGHWAY 95,HUNTSVILLE,AL,60453,Madison,(205) 535-2300,4,Brain injury (traumatic)
21,,ENCOMPASS HEALTH REHABILITATION HOSPITAL NORTH  AL,190 HIGHWAY 72 E,HUNTSVILLE,AL,35811,Napa,(205) 535-2300,4,
22,13029,ENCOMPASS HEALTH REHABILITATION HOSPITAL NORTH  AL,1490 HIGHWAY 72 E,HUNTSVILLE,AL,,Madison,(205) 535-2300,,"Hip or knee replacement, amputation or other bone or joint condition"
23,13029,,18697 BAGLEY RD,,AL,35811,Madison,(205) 535-2300,4,Hip or femur fracture
24,13029,ENCOMPASS HEALTH REHABILITATION HOSPITAL NORTH  AL,602 NORTH ACADIA ROAD,HUNTSVILLE,NY,35811,Madison,(502) 596-6346,,Spinal cord disease or condition (non-traumatic)
25,13029,ENCOMPASS HEALTH REHABILITATION HOSPITAL NORTH  AL,1490 HIGHWAY 72 E,HUNTSVILLE,AL,35811,Madison,(205) 535-2300,4,Spinal cord injury (traumatic)
26,13029,ECOMPASS HEALTH REHABILITATION HOSPITAL NORTH  AL,190 HIGHWAY 72 E,RUSTON,AL,35811,Cook,(205) 535-2300,4,Stroke
27,13030,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF DOTHAN,1736 EAST MAIN STREET,DOTHAN,AL,36301,Houston,(34) 712-6333,4,All other conditions
28,13030,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF DOTHAN,,DOTHAN,AL,36301,Houston,(503) 413-6477,3,Brain disease or condition (non-traumatic)
29,1030,SINGING RIVER HOSPITAL,1736 EAST MAIN STREET,DOTHAN,AL,36301,Houston,(334) 712-6333,6,Brain injury (traumatic)
30,13030,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF DOTHAN,1736 EAST MAIN STREET,DOTHAN,AL,43055,Houston,(334) 712-6333,4,Hip or femur fracture
31,,ECOMPASS HEALTH REHABILITATION HOSPITAL OF DOTHAN,1736 EAST MAIN STREET,DOTHAN,CA,,Houston,(334) 712-6333,4,"Hip or knee replacement, amputation or other bone or joint condition"
32,,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF DOTHAN,DOTHAN,1736 EAST MAIN STREET,MO,36301,Pinellas,(334) 712-6333,4,Nervous system disorder (excluding stroke)
33,13030,,1736 EAST MAIN STREET,DOTHAN,AL,36301,Houston,(334) 712-6333,4,Spinal cord disease or condition (non-traumatic)
34,13030,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF DOTHAN,1736 EAST MAIN STREET,DOTHAN,,36301,Huston,,4,Spinal cord injury (traumatic)
35,13030,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF DOTHAN,1736 EAST MAIN STREET,DTHAN,AL,36301,Adams,(334) 712-6333,4,Stroke
36,13031,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SHELBY,900 OAK MOUNTAIN COMMONS LANE,PELHAM,AL,,Shelby,(205) 216-7621,4,All other conditions
37,36T211,,1401 RIVER RD.,PELHAM,CA,35124,Cook,(205) 216-7621,,Brain disease or condition (non-traumatic)
38,13031,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SHELBY,900 OAK MOUNTAIN COMMONS LANE,PELHAM,A,35124,Selby,(205) 216-7621,4,Brain injury (traumatic)
39,,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SHELBY,900 OAK MOUNTAIN COMMONS LANE,PELHAM,AR,35124,Shelby,(205) 216-7621,4,Hip or femur fracture
40,13031,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SHELBY,900 OAK MOUNTAIN COMMONS LANE,PELHAM,AL,35124,,(205) 216-7621,,Hip or femur fracture
41,11T010,,14 HOSPITAL DRIVE,PELHAM,AL,35124,Shelby,(205) 216-7621,4,Nervous system disorder (excluding stroke)
42,13031,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SHELBY,900 OAK MOUNTAIN COMMONS LANE,PELHAM,NJ,35124,Shelby,(205) 216-7621,,Spinal cord disease or condition (non-traumatic)
43,13031,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SHELBY,900 OAK MOUNTAIN COMMONS LANE,PELHAM,AL,35124,Shelby,(205) 216-7621,4,Spinal cord injury (traumatic)
44,13031,MIDAMERICA REHABILITATION HOSPITAL,900 OAK MOUNTAIN COMMONS LANE,PELHAM,AL,35124,Shelby,(05) 216-7621,4,Stroke
45,13032,BETHESDA MEMORIAL HOSPITAL,GADSDEN,801 GOODYEAR AVE,OH,35903,Etowah,(256) 439-5000,4,
46,13032,ENCOMPASS HEALTH REHABILITATION HOSPITAL GADSDEN,5515 PEACH ST,GADSDEN,LA,35903,Etowah,(314) 658-3800,4,Brain disease or condition (non-traumatic)
47,13032,ENCOMPASS HEALTH REHABILITATION HOSPITAL GADSDEN,801 GOODYEAR AVE,LAS VEGAS,AL,35903,Eowah,(256) 439-5000,5,Brain injury (traumatic)
48,13032,,801 GOODYEAR AVE,GADSDEN,AL,35903,Etowah,(256) 439-5000,4,Hip or femur fracture
49,1032,ENCOMPASS HEALTH REHABILITATION HOSPITAL GADSDEN,801 GOODYEAR AVE,GADSDEN,AL,35903,Etowah,(256) 439-5000,,"Hip or knee replacement, amputation or other bone or joint condition"
50,13032,,801 GOODYEAR AVE,GADSDEN,AL,35903,Ward,(256) 439-5000,4,Nervous system disorder (excluding stroke)
51,13032,REHABILITATION HOSPITAL OF MONTANA,801 GOODYEAR AVE,,AL,35903,Etowah,(256) 439-5000,,Spinal cord disease or condition (non-traumatic)
