,CCN,Facility,Address1,City,State,ZipCode,County,PhoneNumber,CMSRegion,Condition
0,13025,ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,BIRMINGHAM,3800 RIDGEWAY DRIVE,AL,35209,Jefferson,(606) 783-6650,4,All other conditions
1,13025,ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,BIRMINGHAM,3800 RIDGEWAY DRIVE,AL,35209,Jefferson,(205) 868-2000,4,Brain disease or condition (non-traumatic)
2,13025,ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,3800 RIDGEWAY DRIVE,BIRMINGHAM,AL,43201,Jefferson,(205) 868-2000,4,Brain injury (traumatic)
3,13025,ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,3800 RIDGEWAY DRIVE,BIRMINGHAM,AL,35209,Jefferson,(205) 868-2000,4,Hip or femur fracture
4,35209,ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,416 CONNABLE AVE.,BIRMINGHAM,AL,13025,Baxter,(725) 726-2000,4,"Hip or knee replacement, amputation or other bone or joint condition"
5,13025,ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,3800 RIDGEWAY DRIVE,BIRMINGHAM,AL,35209,Jefferson,(205) 868-2000,4,Nervous system disorder (excluding stroke)
6,13025,ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,3800 RIDGEWAY DRIVE,BIRMINGHAM,AL,35209,Jefferson,(205) 868-2000,4,Spinal cord disease or condition (non-traumatic)
7,13025,ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,3800 RIDGEWAY DRIVE,BIRMINGHAM,CA,35209,Jefferson,(205) 868-2000,4,Spinal cord injury (traumatic)
8,13025,ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,3800 RIDGEWAY DRIVE,BIRMINGHAM,AL,35209,Jefferson,(205) 868-2000,4,Stroke
9,13028,ENCOMPASS REHABILITATION HOSPITAL OF MONTGOMERY,4465 NARROW LANE RD,MONTGOMERY,AL,36116,Montgomery,(334) 284-7821,4,All other conditions
10,13028,ENCOMPASS REHABILITATION HOSPITAL OF MONTGOMERY,4465 NARROW LANE RD,MONTGOMERY,NC,36116,Montgomery,(334) 284-7821,8,Brain disease or condition (non-traumatic)
11,13028,ENCOMPASS REHABILITATION HOSPITAL OF MONTGOMERY,4465 NARROW LANE RD,MONTGOMERY,AL,36116,Montgomery,(334) 284-7821,4,Brain injury (traumatic)
12,13028,ENCOMPASS REHABILITATION HOSPITAL OF MONTGOMERY,4465 NARROW LANE RD,MONTGOMERY,AL,36116,Montgomery,(334) 284-7821,4,Hip or femur fracture
13,13028,ENCOMPASS REHABILITATION HOSPITAL OF MONTGOMERY,4465 NARROW LANE RD,MONTGOMERY,AL,36116,Montgomery,(334) 284-7821,4,"Hip or knee replacement, amputation or other bone or joint condition"
