,Unnamed: 0,City,State,ZipCode,CountyName,ProviderNumber,HospitalName,HospitalOwner,Address1,PhoneNumber,HospitalType,EmergencyService
0,0,birmingham,al,35233,jefferson,10018,callahan eye foundation hospital,voluntary non-profit - private,1720 university blvd,2053258100,acute care hospitals,yes
1,1,birmingham,al,35233,jefferson,10018,callahan eye foundation hospital,voluntary non-profit - private,1720 university blvd,2053258100,acute care hospitals,yes
2,2,birmingham,al,35233,jefferson,10018,callahan eye foundation hospital,voluntary non-profit - private,1720 university blvd,2053258100,acute care hospitals,yes
3,3,birmingham,al,35233,jefferson,10018,callahan eye foundation hospital,voluntary non-profit - private,1720 university blvd,2053258100,acute care hospitals,yes
4,4,birmingham,al,35233,jefferson,10018,callahan eye foundation hospital,voluntary non-profit - private,1720 university blvd,2053258100,acute care hospitals,yes
5,5,birmingham,al,35233,jefferson,10018,callahan eye foundation hospital,voluntary non-profit - private,1720 university blvd,2053258100,acute care hospitals,yes
6,6,birmingham,al,35233,jefferson,10018,callahan eye foundation hospital,voluntary non-profit - private,1720 university blvd,2053258100,acute care hospitals,yes
7,7,birmingham,al,35233,jefferson,10018,callahan eye foundation hospital,voluntary non-profit - private,1720 university blvd,2053258100,acute care hospitals,yes
8,8,sheffield,al,35660,jefferson,10019,callahan eye foundation hospital,voluntary non-profit - private,1300 south montgomery avenue,2563864556,acute care hospitals,yes
9,9,sheffield,al,35660,jefferson,10019,callahan eye foundation hospital,voluntary non-profit - private,1300 south montgomery avenue,2563864556,acute care hospitals,yes
10,10,sheffield,al,35660,jefferson,10019,callahan eye foundation hospital,voluntary non-profit - private,1300 south montgomery avenue,2563864556,acute care hospitals,yes
11,11,sheffield,al,35660,jefferson,10019,callahan eye foundation hospital,voluntary non-profit - private,1300 south montgomery avenue,2563864556,acute care hospitals,yes
12,12,sheffield,al,35660,jefferson,10019,callahan eye foundation hospital,voluntary non-profit - private,1300 south montgomery avenue,2563864556,acute care hospitals,yes
13,13,sheffield,al,35660,jefferson,1xx19,callahan eye foundation hospital,voluntary non-profit - private,1300 south montgomery avenue,2563864556,acute care hospitals,yes
14,14,sheffield,al,35660,jefferson,10019,callahan eye foundation hospital,voluntary non-profit - private,1300 south montgomery avenue,2563864556,acute care hospitals,yes
15,15,sheffield,al,35660,jefferson,10019,callahan eye foundation hospital,voluntary non-profit - private,1300 south montgomery avenue,2563864556,acute care hospitals,yes
16,16,sheffield,al,35660,jefferson,10019,callahan eye foundation hospital,voluntary non-profit - private,1300 south montgomery avenue,2563864556,acuxe care hospixals,yes
17,17,sheffield,al,35660,jefferson,10019,callahan eye foundation hospital,voluntary non-profit - private,1300 south montgomery avenue,2563864556,acute care hospitals,yes
18,18,sheffield,al,35660,jefferson,10019,callahan eye foundation hospital,voluntary non-profit - private,1300 south montgomery avenue,2563864556,acute care hospitals,yes
19,19,dothan,al,36302,houston,10001,callahan eye foundation hospital,voluntary non-profit - private,1108 ross clark circle,3347938701,acute care hospitals,yes
20,20,dothan,al,36302,houston,10001,callahan eye foundation hospital,voluntary non-profit - private,1108 ross clark circle,3347938701,acute care hospitals,yes
21,21,dothan,al,36302,houston,10001,callahan eye foundation hospital,voluntary non-profit - private,1108 ross clark circle,3347938701,acute care hospitals,yes
22,22,dothan,al,36302,houston,10001,callahan eye foundation hospital,voluntary non-profit - private,1108 ross clark circle,3347938701,acute care hospitals,yes
23,23,dothan,al,36302,houston,10001,callahan eye foundation hospital,voluntary non-profit - private,1108 ross clark circle,3347938701,acute care hospitals,yes
24,24,dothan,al,36302,houston,10001,callahan eye foundation hospital,voluntary non-profit - private,1108 ross clark circle,334793870x,acute care hospitals,yes
25,25,dothan,al,36302,houston,10001,callahan eye foundation hospital,voluntary non-profit - private,1108 ross clark circle,3347938701,acute care hospitals,yes
26,26,dothan,al,36302,houston,10001,callahan eye foundation hospital,voluntary non-profit - private,1108 ross clark circle,3347938701,acute care hospitals,yes
27,27,dothan,al,36302,houston,10001,callahan eye foundation hospital,voluntary non-profit - private,1108 ross clark circle,3347938701,acute care hospitals,yes
28,28,dothan,al,36302,houston,10001,callahan eye foundation hospital,voluntary non-profit - private,1108 ross clark circle,3347938701,acute care hospitals,yes
29,29,dothan,al,36302,houston,10001,callahan eye foundation hospital,voluntary non-profit - private,1108 ross clark circle,3347938701,acute care hospitals,yes
30,30,dothan,al,36302,houston,10001,callahan eye foundation hospital,voluntary non-profit - private,1108 ross clark circle,3347938701,acute care hospitals,yes
31,31,dothan,al,36302,houston,10001,callahan eye foundation hospital,voluntary non-profit - private,1108 ross clark circle,3347938701,acute care hospitals,yes
32,32,dothan,al,36302,houston,10001,callahan eye foundation hospital,voluntary non-profit - private,1108 ross clark circle,3347938701,acute care hospitals,yes
